Timestamp,X,Y
4,167.63,-61.25
5,168.5,-59.56
6,169.13,-58.25
7,168.5,-55.44
8,167.38,-55.06
9,166.56,-54.06
10,168.88,-55.25
11,175.13,-51.13
12,-176.06,-50.69
13,-169.38,-51.38
14,-166.88,-52.88
15,-169.06,-57.19
16,-173.25,-49
17,-176.19,-29
18,-176.81,-8.31
19,-179.44,-3.31
20,178.94,-0.19
21,178.94,0.44
22,179,1
23,179.44,0.13
24,-176.75,-8.69
25,172.81,-21.88
26,163.75,-41.63
27,162,-51.5
28,167.19,-47.94
29,167.44,-58.63
30,165.13,-67.56
31,164.06,-74.31
32,125.06,-81.13
33,90.88,-82.06
34,63.88,-74.5
35,80.56,-66.44
36,80.81,-66.31
37,82.25,-67.44
38,84.75,-68.63
39,84.63,-68.81
40,81.63,-73.13
41,73.19,-70.69
42,69.56,-69.38
43,42.94,-76.75
44,20.13,-79.94
45,28.31,-77.94
46,29.94,-76.5
47,32.5,-75
48,-20.88,-83
49,-123.75,-76.94
50,-108.13,-78.13
51,-116.25,-77.5
52,-125.88,-76.06
53,-130.31,-74.56
54,-128.13,-75.38
55,-127.44,-75.88
56,-125.19,-75.75
57,-70.19,-82.94
58,-3.94,-84.38
59,-2.44,-83.31
60,-1.69,-83.69
61,-5.94,-82.69
62,0,-84.19
63,2.38,-85.75
64,1.81,-85.13
65,5.69,-84.06
66,5.81,-83.88
67,5.56,-84.19
68,4.88,-84.69
69,4.38,-85.5
70,175.94,-85.94
71,80.25,-81.5
72,88.06,-81.75
73,124.44,-82.19
74,176.25,-85.56
75,174.5,-84.38
76,77.88,-81
77,63.69,-68.13
78,47.75,-74.38
79,25.06,-80.31
80,1.63,-87.25
81,5.94,-83.88
82,86.88,-82.44
83,2.94,-85.75
84,-2.44,-85.38
85,-1.56,-84.38
86,62.13,-82.44
87,4.31,-85.13
88,1.69,-87.75
89,0.38,-86.88
90,-2.19,-86.25
91,-3,-85.13
92,-1.44,-86.19
93,-0.38,-87
94,0.13,-87.56
95,0.19,-88.81
96,0.38,-88.56
97,0.25,-88.38
98,0.5,-87.81
99,0.38,-88.75
100,-178.63,-86.56
101,-157.31,-80.69
102,-155.44,-74.94
103,-159.81,-72
104,-159.38,-71.25
105,-159.25,-70.13
106,-158.69,-70.56
107,-159.31,-74.19
108,-178.75,-84.56
109,1,-88.44
110,2.94,-84
111,23.69,-76.31
112,22.94,-72.56
113,23.13,-72.44
114,23.13,-72.56
115,22.81,-72.75
116,23,-73.38
117,22,-75.56
118,15.69,-82.69
119,-178.56,-86.81
121,-156.69,-82.63
122,-162.69,-82.38
123,151.44,-79.75
124,128.81,-72.38
125,126.31,-70.94
126,124.75,-71
127,121.69,-70.94
128,120.63,-71.94
129,130.5,-78.81
130,179.75,-86.44
131,-179.19,-87
132,-178.38,-86.19
133,-105.19,-81.25
134,-80.56,-74.25
135,-78.38,-71.44
136,-79.88,-70.69
137,-84.19,-74.06
138,-174.25,-84.06
139,179.06,-87.38
140,-154.94,-82
141,-149.94,-74.38
142,-151.25,-71.38
143,-151.69,-71.25
144,-153.75,-72.31
145,-156.94,-78.19
146,-179.56,-87.13
147,-179.56,-87.88
148,-179.44,-87.75
149,179.75,-88.94
150,30.75,-82.19
151,29.13,-76.56
152,28.69,-76.81
153,3.38,-83.5
154,-179.31,-87.75
155,-177.56,-87.31
156,179.31,-87.06
157,179.5,-85.56
158,179.94,-83.38
159,178.94,-87.5
160,28.5,-75.13
161,34.75,-69.5
162,174.94,-84.31
163,175.94,-82.31
164,-150.31,-77.81
165,-113.25,-60.38
166,-133.31,-42.44
167,-168.81,-0.88
168,-169.06,7.88
169,179.75,-10.31
170,172.06,-37.63
171,177.56,-30.13
172,-177.69,-38
173,-176.25,-22.69
174,-177.81,-16.81
175,-176.31,-7.88
